p_number,planned_start_date,configuration_item,short_description,description,affected_customers,state,completion_code
PRJ-3000,2025-11-01,V2500-A5,ETOPS validation,Validate ETOPS 180 capability per FAA AC 120-42B,Charter Ops,Scheduled,C07
PRJ-3001,2025-11-02,V2500-A5,TCAS upgrade,Validate ETOPS 180 capability per FAA AC 120-42B,,Completed,C99
PRJ-3002,2025-11-03,V2500-A5,AD compliance check,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,Completed,C15
PRJ-3003,2025-11-04,CFM56-7B,AD compliance check,Calibrate pitot-static system for RVSM per MMEL 34-10,Cargo Division,Deferred,C15
PRJ-3004,2025-11-05,PW4000,ETOPS validation,Upgrade TCAS to version 7.1 per DO-185B,Cargo Division,Deferred,C01
PRJ-3005,2025-11-06,PW4000,AD compliance check,Perform SB 737-28-1125 to comply with AD 2023-01-05,,In Progress,C99
PRJ-3006,2025-11-07,PW4000,TCAS upgrade,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,Scheduled,C99
PRJ-3007,2025-11-08,CFM56-7B,ETOPS validation,Calibrate pitot-static system for RVSM per MMEL 34-10,,Deferred,C15
PRJ-3008,2025-11-09,V2500-A5,TCAS upgrade,Upgrade TCAS to version 7.1 per DO-185B,Charter Ops,Completed,C15
PRJ-3009,2025-11-10,PW4000,AD compliance check,Validate ETOPS 180 capability per FAA AC 120-42B,Charter Ops,In Progress,C15
PRJ-3010,2025-11-11,CFM56-7B,ETOPS validation,Calibrate pitot-static system for RVSM per MMEL 34-10,Charter Ops,Deferred,C15
PRJ-3011,2025-11-12,CFM56-7B,ETOPS validation,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,Completed,C01
PRJ-3012,2025-11-13,GE90-115B,AD compliance check,Calibrate pitot-static system for RVSM per MMEL 34-10,Charter Ops,In Progress,C99
PRJ-3013,2025-11-14,GE90-115B,ETOPS validation,Validate ETOPS 180 capability per FAA AC 120-42B,Charter Ops,In Progress,C01
PRJ-3014,2025-11-15,CFM56-7B,RVSM calibration,Perform SB 737-28-1125 to comply with AD 2023-01-05,Interline Partners,Completed,C07
PRJ-3015,2025-11-16,V2500-A5,RVSM calibration,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,In Progress,C15
PRJ-3016,2025-11-17,V2500-A5,ETOPS validation,Upgrade TCAS to version 7.1 per DO-185B,,Scheduled,C99
PRJ-3017,2025-11-18,GE90-115B,ETOPS validation,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,Completed,C01
PRJ-3018,2025-11-19,CFM56-7B,ETOPS validation,Validate ETOPS 180 capability per FAA AC 120-42B,Charter Ops,Scheduled,C01
PRJ-3019,2025-11-20,CFM56-7B,RVSM calibration,Upgrade TCAS to version 7.1 per DO-185B,Cargo Division,Scheduled,C07
